VK;Wort;Prozent;Worteinordnung;filtername;kommt von…;Anmerkung;Sprache;schon bearbeitet
2;LEGENDS;0.05 %;;;;unwichtig;;x
2;13/15;0.05 %;;;;unwichtig;;x
2;MELDEN;0.05 %;;;;unwichtig;;x
2;DUPE!!X;0.05 %;;;;ersetzt;;x
2;RAPTOR;0.05 %;;;;unwichtig;;x
2;HTTP://DE.TWITCH.TV/GIZMOIRL;0.05 %;;;;unwichtig;;x
2;SONNE;0.05 %;;;;unwichtig;;x
2;WLS;0.05 %;;;;unwichtig;;x
2;HOCH;0.05 %;;;;unwichtig;;x
2;SPIRIT;0.05 %;;;;unwichtig;;x
2;JMND;0.05 %;mischkurzwort;;jemand;;;x
2;DS10;0.05 %;initialkurzwort;drachenseele;drachenseele 10 pers.;instanz;;x
2;LEAD;0.05 %;entlehnung;anführer;anführer;filter1;e;x
2;PURPURKUGELFISCH;0.05 %;;;;unwichtig;;x
2;NELLENA;0.05 %;;;;unwichtig;;x
2;SCHOLOMANCE;0.05 %;;;;unwichtig;;x
2;OPTIMIERUNG;0.05 %;;;;unwichtig;;x
2;HELP.EXCLUSIWE.RBG;0.05 %;;;;unwichtig;;x
2;RESTO-DRUID;0.05 %;mischkurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
2;RESTODRUIDE;0.05 %;mischkurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
2;LEAGUE;0.05 %;;;;unwichtig;;x
2;ERDRINGDIAMANT;0.05 %;;;;unwichtig;;x
2;TS3+1K;0.05 %;;;;ersetzt;;x
2;DROPPT;0.05 %;entlehnung;;beute fallen lassen;;e;x
2;RAIDET;0.05 %;entlehnung;;überfallen;;e;x
2;MET;0.05 %;;;;unwichtig;;x
2;ERSTEN;0.05 %;;;;unwichtig;;x
2;PATCH;0.05 %;entlehnung;;veränderungen im spiel;;e;x
2;ERSATZ;0.05 %;;;;unwichtig;;x
2;RESTOSHAMAN;0.05 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
2;490*********;0.05 %;;;;unwichtig;;x
2;SOBALD;0.05 %;;;;unwichtig;;x
2;RATING?WAYNE;0.05 %;;;;ersetzt;;x
2;ENGAGIERT;0.05 %;;;;unwichtig;;x
2;7W;0.05 %;;;;ersetzt;;x
2;SUPPORT;0.05 %;;;;unwichtig;;x
2;UNSEREN;0.05 %;;;;unwichtig;;x
2;ZURZEIT;0.05 %;;;;unwichtig;;x
2;TOP-SPIELER;0.05 %;;;;unwichtig;;x
2;HTTP://SCAVENGERGUILD.WOWSTEAD.COM/RECRUITMENT;0.05 %;;;;unwichtig;;x
2;8/16HC;0.05 %;;;;ersetzt;;x
2;MOVEMENT/EXP;0.05 %;;;;ersetzt;;x
2;MOSHU-CLEARGRP;0.05 %;;;;ersetzt;;x
2;RECR;0.05 %;kopfwort;;recruitment;;e;x
2;MAINRAID;0.05 %;entlehnung;;schlachtzug mit hauptcharakteren;;e;x
2;ROBINS;0.05 %;;;;unwichtig;;x
2;SPIRITS;0.05 %;;;;unwichtig;;x
2;FüNF;0.05 %;;;;unwichtig;;x
2;RICHTENDER;0.05 %;;;;unwichtig;;x
2;RüCKENSCHUTZ;0.05 %;;;;unwichtig;;x
2;SCAVENGER;0.05 %;;;;unwichtig;;x
2;TRAUMSPLITTER;0.05 %;;;;unwichtig;;x
2;HALLO;0.05 %;;;;unwichtig;;x
2;TRANSMUTATION;0.05 %;;;;unwichtig;;x
2;SCHARFRICHTER;0.05 %;;;;unwichtig;;x
2;80-90ER;0.05 %;numeral;;level;;;x
2;01.Mai;0.05 %;;;;unwichtig;;x
2;VERZAUBERER;0.05 %;;;;unwichtig;;x
2;SKILLEN;0.05 %;entlehnung;;talentpunkte vergeben;;e;x
2;1/3HEILERN;0.05 %;;;;ersetzt;;x
2;GEPLANNT.WIR;0.05 %;;;;unwichtig;;x
2;STAMRAID;0.05 %;;;;ersetzt;;x
2;2000G;0.05 %;;;;unwichtig;;x
2;19:30UHR;0.05 %;;;;unwichtig;;x
2;HC{RT3;0.05 %;;;;ersetzt;;x
2;GRADE;0.05 %;;;;unwichtig;;x
2;ZEICHEN;0.05 %;;;;unwichtig;;x
2;13:15;0.05 %;;;;unwichtig;;x
2;CIRCLE;0.05 %;;;;unwichtig;;x
2;SOULS(25;0.05 %;;;;unwichtig;;x
2;RT3}TINNITUS;0.05 %;;;;unwichtig;;x
2;0/3HEILERN;0.05 %;;;;ersetzt;;x
2;ILV;0.05 %;mischkurzwort;itemlevel;itemlevel;filter1;e;x
2;KöNNT;0.05 %;;;;unwichtig;;x
2;WELCHER;0.05 %;;;;unwichtig;;x
2;UNTERSTüTZEN;0.05 %;;;;unwichtig;;x
2;PROGRESSORIENTIERTE;0.05 %;entlehnung;;fortschrittorientiert;;e;x
2;KEYS;0.05 %;entlehnung;schlüssel;schlüssel;filter1;e;x
2;2K+EXP;0.05 %;;;;ersetzt;;x
2;2,2/2,4/GLAD;0.05 %;;;;ersetzt;;x
2;ZäHER;0.05 %;;;;unwichtig;;x
2;<<<;0.05 %;;;;unwichtig;;x
2;HäTTE;0.05 %;;;;unwichtig;;x
2;KEY;0.05 %;entlehnung;schlüssel;schlüssel;filter1;e;x
2;FTW;0.05 %;initialkurzwort;;for the win;;e;x
2;1800LR;0.05 %;;;;ersetzt;;x
2;HäNDLER;0.05 %;;;;unwichtig;;x
2;MOJO;0.05 %;;;;unwichtig;;x
2;SEIDENSTOFFBALLEN;0.05 %;;;;unwichtig;;x
2;EURE;0.05 %;;;;unwichtig;;x
2;ZUFäLLIG;0.05 %;;;;unwichtig;;x
2;SCHARLACHROTE;0.05 %;;;;unwichtig;;x
2;HALLEN;0.05 %;;;;unwichtig;;x
2;WILLENSKRAFT;0.05 %;;;;unwichtig;;x
2;ÜBERRAGENDE;0.05 %;;;;unwichtig;;x
2;JORMUNGARSCHUPPE;0.05 %;;;;unwichtig;;x
2;T5;0.05 %;;;;unwichtig;;x
2;VERMIETE;0.05 %;;;;unwichtig;;x
2;DONNERNDEN;0.05 %;;;;unwichtig;;x
2;MO;0.05 %;;;;unwichtig;;x
2;FUR;0.05 %;;;;unwichtig;;x
2;BOREANISCHES;0.05 %;;;;unwichtig;;x
2;SCHWERES;0.05 %;;;;unwichtig;;x
2;FULLGEAR;0.05 %;entlehnung;;komplette ausrüstung;;e;x
2;VERMITTLER;0.05 %;;;;unwichtig;;x
2;KOMMEN;0.05 %;;;;unwichtig;;x
2;PRIESTERN;0.05 %;;;;unwichtig;;x
2;LR)BEIDE;0.05 %;;;;ersetzt;;x
2;SHADOW(475GS;0.05 %;;;;ersetzt;;x
2;RSHAM;0.05 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
2;GILDENBANKFäCHER;0.05 %;;;;unwichtig;;x
2;2H;0.05 %;;;;unwichtig;;x
2;BRUST;0.05 %;;;;unwichtig;;x
2;SOLO;0.05 %;entlehnung;;allein;;e;x
2;ZORN;0.05 %;;;;unwichtig;;x
2;PRIESTERSTYLE;0.05 %;entlehnung;;ausrüstung, optisch hübsch für priester;;e;x
2;3/3HEILERN;0.05 %;;;;ersetzt;;x
2;DD´S(EULE,ELE;0.05 %;;;;ersetzt;;x
2;EI;0.05 %;;;;unwichtig;;x
2;MONSTRöSES;0.05 %;;;;unwichtig;;x
2;AUFS;0.05 %;;;;unwichtig;;x
2;TARASSE;0.05 %;;;;unwichtig;;x
2;GAUNER;0.05 %;;;;unwichtig;;x
2;JEWELCRAFTING;0.05 %;entlehnung;juwelenschleifer;juwelenschleifer;filter1;e;x
2;Okt.25;0.05 %;;;;unwichtig;;x
2;LEV;0.05 %;kopfwort;itemlevel;itemstufe;filter1;e;x
2;TAUSCHEN;0.05 %;;;;unwichtig;;x
2;400G;0.05 %;;;;unwichtig;;x
2;STURMBRECHERBRUSTSCHUTZ;0.05 %;;;;unwichtig;;x
2;SAIL;0.05 %;;;;unwichtig;;x
2;FAIL;0.05 %;entlehnung;;vermurkst;;e;x
2;HEILIG;0.05 %;;;;unwichtig;;x
2;RIVALEN;0.05 %;;;;unwichtig;;x
2;KLAGEGEISTARMSCHIENEN;0.05 %;;;;unwichtig;;x
2;SPOTT;0.05 %;;;;unwichtig;;x
2;===;0.05 %;;;;unwichtig;;x
2;======;0.05 %;;;;unwichtig;;x
2;STäRKE;0.05 %;;;;unwichtig;;x
2;BRONZE;0.05 %;;;;unwichtig;;x
2;HERAUSFORDERUNGSMEISTER;0.05 %;;;;unwichtig;;x
2;ZAUBEREI;0.05 %;;;;unwichtig;;x
2;VORDERGRUND;0.05 %;;;;unwichtig;;x
2;BEREICHEN;0.05 %;;;;unwichtig;;x
2;LEADS;0.05 %;entlehnung;anführer;anführer;;e;x
2;EULE/MELEE;0.05 %;;;;ersetzt;;x
2;JEWEILIGEN;0.05 %;;;;unwichtig;;x
2;LVLN/INIS/BGS;0.05 %;;;;ersetzt;;x
2;IMMBA;0.05 %;entlehnung;imba;imbalanced;filter1;e;x
2;TRANSALCHI;0.05 %;silbenkurzwort;;transmutationsalchemist;;e;x
2;LEERE;0.05 %;;;;unwichtig;;x
2;ZONE;0.05 %;;;;unwichtig;;x
2;TWINKS;0.05 %;entlehnung;zweitcharakter;zweitcharakter;;e;x
2;EHYYY;0.05 %;;;;unwichtig;;x
2;äHNLICH;0.05 %;;;;unwichtig;;x
2;HYBRID;0.05 %;;;;unwichtig;;x
2;WOHER;0.05 %;;;;unwichtig;;x
2;SCHADOW;0.05 %;entlehnung;priester-schatten;priester mit schattenfertigkeitsbaum;klasse;e;x
2;GEH;0.05 %;;;;unwichtig;;x
2;REIN;0.05 %;;;;unwichtig;;x
2;BUTTERMILCHKüSSCHEN;0.05 %;;;;unwichtig;;x
2;SHUCHE;0.05 %;;;;ersetzt;;x
2;WEIß;0.05 %;;;;unwichtig;;x
2;EBENFALLS;0.05 %;;;;unwichtig;;x
2;TRINKGOLD;0.05 %;;trinkgeld;trinkgeld;filter1;;x
2;FäCHER;0.05 %;;;;unwichtig;;x
2;RAID/STAMMGRUPPE;0.05 %;;;;ersetzt;;x
2;HP;0.05 %;initialkurzwort;;hitpoints;;e;x
2;FREUNDLICHER;0.05 %;;;;unwichtig;;x
2;GUTER;0.05 %;;;;unwichtig;;x
2;GERADE;0.05 %;;;;unwichtig;;x
2;ARG;0.05 %;;;;unwichtig;;x
2;HC-EXP;0.05 %;;;;ersetzt;;x
2;SCHAMANE/DRUIDE;0.05 %;;;;ersetzt;;x
2;KRISTALLERFüLLTES;0.05 %;;;;unwichtig;;x
2;MESSER;0.05 %;;;;unwichtig;;x
2;STAMMRAID;0.05 %;entlehnung;raidstammgruppe;raidstammgruppe;;e;x
2;T14;0.05 %;;;;unwichtig;;x
2;FLAWLESS;0.05 %;;;;unwichtig;;x
2;OG;0.05 %;;;;unwichtig;;x
2;PLEASE;0.05 %;entlehnung;bitte;bitte;filter1;e;x
2;BESSER;0.05 %;;;;unwichtig;;x
2;LVLBEREICH;0.05 %;mischkurzwort;;stufenbereich eines gebietes;;e;x
2;HEIL;0.05 %;kopfwort;heilung;heilung;filter1;;x
2;1K7;0.05 %;;;;unwichtig;;x
2;19:30-23:00;0.05 %;;;;unwichtig;;x
2;TINNITUS;0.05 %;;;;unwichtig;;x
2;16/16XP;0.05 %;;;;ersetzt;;x
2;2S/3S;0.05 %;;;;ersetzt;;x
2;PRE;0.05 %;entlehnung;;vor (etwas);;e;x
2;70G;0.05 %;;;;unwichtig;;x
2;FORTUNE;0.05 %;;;;unwichtig;;x
2;SEID;0.05 %;;;;unwichtig;;x
2;BEASTCLEAVE;0.05 %;;;;unwichtig;;x
2;ROSTBERGMöWE;0.05 %;;;;unwichtig;;x
2;ILVL485;0.05 %;;;;ersetzt;;x
2;FLäMMLING6,5K;0.05 %;;;;unwichtig;;x
2;WäCHTER;0.05 %;;;;unwichtig;;x
2;02.Jun;0.05 %;;;;unwichtig;;x
2;HO-ZEN-FRIEDENSPFEIFE;0.05 %;;;;unwichtig;;x
2;SCHULTERPOLSTER;0.05 %;;;;unwichtig;;x
2;ERFOLGREICH;0.05 %;;;;unwichtig;;x
2;BIERTRINKER;0.05 %;;;;unwichtig;;x
2;ERNEUERTEN;0.05 %;;;;unwichtig;;x
2;RANGES;0.05 %;entlehnung;distanzkämpfer;ranged damagedealer;filter1;e;x
2;12G/STACK;0.05 %;;;;unwichtig;;x
2;RECHT;0.05 %;;;;unwichtig;;x
2;GEGENSATZ;0.05 %;;;;unwichtig;;x
2;BESTEHT;0.05 %;;;;unwichtig;;x
2;WIEDERAUFBAU;0.05 %;;;;unwichtig;;x
2;NED;0.05 %;;;;unwichtig;;x
2;WERBEFREI;0.05 %;;;;unwichtig;;x
2;RULE;0.05 %;entlehnung;;dominieren;;e;x
2;WWW.WAUCT.IO;0.05 %;;;;unwichtig;;x
2;LIEBSTEN;0.05 %;;;;unwichtig;;x
2;FRüHER;0.05 %;;;;unwichtig;;x
2;XP/LR;0.05 %;;;;ersetzt;;x
2;90GER;0.05 %;numeral;;;ersetzt;;x
2;LEGEN;0.05 %;;;;unwichtig;;x
2;SCHAU;0.05 %;;;;unwichtig;;x
2;MEIßTEN;0.05 %;;;;unwichtig;;x
2;SPLITTERSPEERE;0.05 %;;;;unwichtig;;x
2;SPEER;0.05 %;;;;unwichtig;;x
2;FLIEGEN;0.05 %;;;;unwichtig;;x
2;GROLLHAUERARMBRUST;0.05 %;;;;unwichtig;;x
2;2000GOLD;0.05 %;;;;unwichtig;;x
2;GUIDE;0.05 %;entlehnung;;anleitung;;e;x
2;BLAUER;0.05 %;;;;unwichtig;;x
2;F;0.05 %;;;;unwichtig;;x
2;JODLER;0.05 %;;;;unwichtig;;x
2;CSU-WäHLER;0.05 %;;;;unwichtig;;x
2;180G;0.05 %;;;;unwichtig;;x
2;220GOLD;0.05 %;;;;unwichtig;;x
2;SPECTRAL;0.05 %;;;;unwichtig;;x
2;SONNTAG+MONTAG;0.05 %;;;;unwichtig;;x
2;WOWPROGRESS;0.05 %;entlehnung;;fortschritt in wow;;e;x
2;T8;0.05 %;;;;unwichtig;;x
2;MEHRFACH;0.05 %;;;;unwichtig;;x
2;REZEPTE;0.05 %;;;;unwichtig;;x
2;SWIFT;0.05 %;;;;unwichtig;;x
2;WILKOMMEN;0.05 %;;;;unwichtig;;x
2;2HEILER;0.05 %;;;;ersetzt;;x
2;MARKEN;0.05 %;;;;unwichtig;;x
2;MEEE;0.05 %;;;;ersetzt;;x
2;ITMLVL;0.05 %;;;;ersetzt;;x
2;ARENAXP;0.05 %;mischkurzwort;;arenaerfahrung;;e;x
2;25G;0.05 %;;;;unwichtig;;x
2;INI´S;0.05 %;mischkurzwort;instanz;instanz;filter1;;x
2;SCHNELLE;0.05 %;;;;unwichtig;;x
2;STAHL;0.05 %;;;;unwichtig;;x
2;MODUS;0.05 %;;;;unwichtig;;x
2;RéDOC;0.05 %;;;;unwichtig;;x
2;ACHTUNG;0.05 %;;;;unwichtig;;x
2;HALT;0.05 %;;;;unwichtig;;x
2;GEIER;0.05 %;;;;unwichtig;;x
2;UNTERNEHMUNGEN;0.05 %;;;;unwichtig;;x
2;BAYERN;0.05 %;;;;unwichtig;;x
2;FREISTAAT;0.05 %;;;;unwichtig;;x
2;SHADOW/HEXER;0.05 %;;;shadow/;ersetzt;;x
2;1CAP;0.05 %;;;;ersetzt;;x
2;GILDE-UNNATURAL;0.05 %;;;;unwichtig;;x
2;PECHSCHWINGEN;0.05 %;;;;unwichtig;;x
2;BOSSEN;0.05 %;;;;unwichtig;;x
2;ARENASPIELER;0.05 %;;;;unwichtig;;x
2;ZIEL;0.05 %;;;;unwichtig;;x
2;GS482;0.05 %;;;;ersetzt;;x
2;1FC/MS;0.05 %;;;;ersetzt;;x
2;STK;0.05 %;mischkurzwort;;stück;;;x
2;GEMEINSAME;0.05 %;;;;unwichtig;;x
2;FINDEN;0.05 %;;;;unwichtig;;x
2;KELLERKINDER;0.05 %;;;;unwichtig;;x
2;EINGANG;0.05 %;;;;unwichtig;;x
2;GEARCHECK;0.05 %;entlehnung;gearcheck;gearcheck;filter1;e;x
2;HEY;0.05 %;;;;unwichtig;;x
2;IL;0.05 %;initialkurzwort;itemlevel;itemstufe;filter1;e;x
2;WOLLTE;0.05 %;;;;unwichtig;;x
2;<<<---RBG;0.05 %;;;;ersetzt;;x
2;WüRDE;0.05 %;;;;unwichtig;;x
2;M;0.05 %;;;;unwichtig;;x
2;FESTEN;0.05 %;;;;unwichtig;;x
2;14MAL;0.05 %;;;;unwichtig;;x
2;DäMONENAUGE;0.05 %;;;;unwichtig;;x
2;DRINGEN;0.05 %;;;;unwichtig;;x
2;üRFELSPIEL;0.05 %;;;;unwichtig;;x
2;05.Okt;0.05 %;;;;unwichtig;;x
2;KöNNTE;0.05 %;;;;unwichtig;;x
2;PORTEN;0.05 %;;;;unwichtig;;x
2;ALLY;0.05 %;mischkurzwort;allianz;fraktion;filter1;e;x
2;TC&MAGE;0.05 %;;;;ersetzt;;x
2;T1²;0.05 %;;;;unwichtig;;x
2;KARDINALSRUBIN;0.05 %;;;;unwichtig;;x
2;PLäTZE;0.05 %;;;;unwichtig;;x
2;RND;0.05 %;mischkurzwort;zufällig;zufällig (meist person);filter1;e;x
2;TIPPS;0.05 %;;;;unwichtig;;x
2;NULLCHECKER;0.05 %;;;;unwichtig;;x
2;KAISERIN;0.05 %;;;;unwichtig;;x
2;PLATZ;0.05 %;;;;unwichtig;;x
2;1DK;0.05 %;;;;ersetzt;;x
2;WEBSITE;0.05 %;;;;unwichtig;;x
2;DD´S../W;0.05 %;;;;ersetzt;;x
2;SHAM/DRUID/MONK;0.05 %;;;;ersetzt;;x
2;WEITER;0.05 %;;;;unwichtig;;x
2;20SOCKEL;0.05 %;;;;unwichtig;;x
2;KLUMPI;0.05 %;;;;unwichtig;;x
2;VERPFLICHTUNGEN;0.05 %;;;;unwichtig;;x
2;VORLAGEN;0.05 %;;;;unwichtig;;x
2;SPAREN;0.05 %;;;;unwichtig;;x
2;WüRFELN;0.05 %;;;;unwichtig;;x
2;GGF;0.05 %;;;;unwichtig;;x
2;ANFRAGE;0.05 %;;;;unwichtig;;x
2;DREIERBANDE;0.05 %;;;;unwichtig;;x
2;MEISTERHAFTER;0.05 %;;;;unwichtig;;x
2;SETUP;0.05 %;entlehnung;;aufstellung;;e;x
2;NIUZAO;0.05 %;;;;unwichtig;;x
2;IFG;0.05 %;;;;ersetzt;;x
2;PLATEAU;0.05 %;;;;unwichtig;;x
2;BARREN;0.05 %;;;;unwichtig;;x
2;MEISTERHAFTE;0.05 %;;;;unwichtig;;x
2;BERGKRISTALL;0.05 %;;;;unwichtig;;x
2;EHRFüRCHTIG;0.05 %;;;;unwichtig;;x
2;WINZIGER;0.05 %;;;;unwichtig;;x
2;KANALRATTE;0.05 %;;;;unwichtig;;x
2;LEHRENSUCHER;0.05 %;;;;unwichtig;;x
2;ERHALTET;0.05 %;;;;unwichtig;;x
2;WYRMLING;0.05 %;;;;unwichtig;;x
2;SCHIMMERNDER;0.05 %;;;;unwichtig;;x
2;FLUGWOLKE;0.05 %;;;;unwichtig;;x
2;DD(KEIN;0.05 %;;;;ersetzt;;x
2;STULPEN;0.05 %;;;;unwichtig;;x
2;FUNKTIONIEREN;0.05 %;;;;unwichtig;;x
2;TASTENKOMBIS;0.05 %;kopfwort;;tastenkombinationen;;;x
2;WARUM;0.05 %;;;;unwichtig;;x
2;WüRFEL;0.05 %;;;;unwichtig;;x
2;EROBERUNGSPUNKTE;0.05 %;;;;unwichtig;;x
2;CHI-JI8.9K;0.05 %;;;;unwichtig;;x
2;KUNZIT;0.05 %;;;;unwichtig;;x
2;GLITZENDER;0.05 %;;;;unwichtig;;x
2;15G;0.05 %;;;;unwichtig;;x
2;CHAR.2;0.05 %;;;;unwichtig;;x
2;ALLI;0.05 %;kopfwort;allianz;fraktion;filter1;e;x
2;VHB;0.05 %;mischkurzwort;;verhandlungsbasis;;;x
2;IVL;0.05 %;initialkurzwort;itemlevel;itemstufe;filter1;e;x
2;MAX;0.05 %;kopfwort;;maximal;;;x
2;GAR;0.05 %;;;;unwichtig;;x
2;CHI-JI9.5K;0.05 %;;;;unwichtig;;x
2;INNI;0.05 %;mischkurzwort;instanz;instanz;filter1;;x
2;GEWöLBE;0.05 %;;;;unwichtig;;x
2;UN;0.05 %;;;;unwichtig;;x
2;475ILVL;0.05 %;;;;ersetzt;;x
2;VIER;0.05 %;;;;unwichtig;;x
2;WAFFENRATING;0.05 %;entlehnung;;waffenwertung;;e;x
2;REITTIERE;0.05 %;;;;unwichtig;;x
2;KEINER;0.05 %;;;;unwichtig;;x
2;T1/2;0.05 %;;;;ersetzt;;x
2;GLORY;0.05 %;;;;unwichtig;;x
2;ALTER;0.05 %;;;;unwichtig;;x
2;RAIDSTAMMGRUPPE;0.05 %;entlehnung;raidstammgruppe;schlachtzugsstammgruppe;filter1;e;x
2;LUFT;0.05 %;;;;unwichtig;;x
2;KURZE;0.05 %;;;;unwichtig;;x
2;15:30;0.05 %;;;;unwichtig;;x
2;ARENAMATES;0.05 %;entlehnung;arenateamkollege;arenateamkollegen;filter1;e;x
2;SIE;0.05 %;;;;unwichtig;;x
2;2,2XP||GS;0.05 %;;;;ersetzt;;x
2;AKTUELLES;0.05 %;;;;unwichtig;;x
2;MV;0.05 %;initialkurzwort;mogu'shangewölbe;mogu'shangewölbe;instanz;;x
2;DAUER;0.05 %;;;;unwichtig;;x
2;LIONHEARTS;0.05 %;;;;unwichtig;;x
2;MITTLERES;0.05 %;;;;unwichtig;;x
2;VERSCHNöRKELTE;0.05 %;;;;unwichtig;;x
2;KAMPFPLATTE;0.05 %;;;;unwichtig;;x
2;MEISTERS;0.05 %;;;;unwichtig;;x
2;ARBEIT;0.05 %;;;;unwichtig;;x
2;PRIESTER;0.05 %;;;;unwichtig;;x
2;BOOSTS;0.05 %;;;;unwichtig;;x
2;AUFN;0.05 %;;;;unwichtig;;x
2;ACC;0.05 %;kopfwort;;account;;e;x
2;UNSICHTBARKEITSTRANK;0.05 %;;;;unwichtig;;x
2;MITGLIEDSPASS;0.05 %;;;;unwichtig;;x
2;NUTZUNG;0.05 %;;;;unwichtig;;x
2;IP;0.05 %;;;;unwichtig;;x
2;BRAUCHE;0.05 %;;;;unwichtig;;x
2;TAG;0.05 %;;;;unwichtig;;x
2;PUBLIC;0.05 %;entlehnung;;öffentlich;;e;x
2;IMBA;0.05 %;kopfwort;imba;imbalanced;filter1;e;x
2;~2200;0.05 %;;;;unwichtig;;x
2;SEASONS;0.05 %;entlehnung;arena-saison;arena-saison;filter1;e;x
2;CHALLANGE;0.05 %;;;;ersetzt;;x
2;PVP-GILDE/RBG;0.05 %;;;;ersetzt;;x
2;SHAODW;0.05 %;;;;ersetzt;;x
2;HOLEN;0.05 %;;;;unwichtig;;x
2;UNSERER;0.05 %;;;;unwichtig;;x
2;CHEAP;0.05 %;entlehnung;;billig;;e;x
2;ANY;0.05 %;;;;unwichtig;;x
2;ILVL473;0.05 %;;;;ersetzt;;x
2;EP-STOP;0.05 %;partielles kurzwort;;erfahrungs-stop;;e;x
2;GEMEINSAMEN;0.05 %;;;;unwichtig;;x
2;SäMTLICHER;0.05 %;;;;unwichtig;;x
2;SCHLACHTZüGE;0.05 %;;;;unwichtig;;x
2;CATACLYSMIC;0.05 %;;;;unwichtig;;x
2;ALLIANCE;0.05 %;;;;unwichtig;;x
2;PLS/W;0.05 %;;;;ersetzt;;x
2;STOFFIS;0.05 %;mischkurzwort;;klassen mit stoffausrüstung;klasse;;x
2;GESUCH;0.05 %;;;;unwichtig;;x
2;DUPE!!8;0.05 %;;;;ersetzt;;x
2;1.8KLR;0.05 %;;;;ersetzt;;x
2;RANDOM;0.05 %;entlehnung;zufällig;zufällig (meist person);filter1;e;x
2;BRAUCH;0.05 %;;;;unwichtig;;x
2;BLACKSMITHING;0.05 %;entlehnung;;schmiedekunst;;e;x
2;PANDAREN;0.05 %;;;;unwichtig;;x
2;"STATION""(STUFE";0.05 %;;;;unwichtig;;x
2;3S/5S;0.05 %;;;;ersetzt;;x
2;BESCHEID;0.05 %;;;;unwichtig;;x
2;1,9XP;0.05 %;;;;ersetzt;;x
2;GLYPHEN;0.05 %;;;;unwichtig;;x
2;PHD;0.05 %;initialkurzwort;;arenakombination;;e;x
2;SAG;0.05 %;;;;unwichtig;;x
2;KLOSER;0.05 %;;;;unwichtig;;x
2;T1+WAFFEN;0.05 %;;;;ersetzt;;x
2;SEINE;0.05 %;;;;unwichtig;;x
2;2K+CHAR;0.05 %;;;;ersetzt;;x
2;NULL;0.05 %;;;;unwichtig;;x
2;ZOMBIECHICKENCLEAVE;0.05 %;;;;unwichtig;;x
2;MS/FC;0.05 %;;;;ersetzt;;x
2;BUT;0.05 %;;;;unwichtig;;x
2;JUNKBOX;0.05 %;;;;unwichtig;;x
2;BLITZFäUSTE;0.05 %;;;;unwichtig;;x
2;TANKPALA/KRIEGER;0.05 %;;;;ersetzt;;x
2;EXP,NO-LR;0.05 %;;;;ersetzt;;x
2;STERNENTRäGERS;0.05 %;;;;unwichtig;;x
2;WEGEN;0.05 %;;;;unwichtig;;x
2;"<rbg< td=""""></rbg<>";0.05 %;;;;unwichtig;;x
2;BANANAS;0.05 %;;;;unwichtig;;x
2;OFFER;0.05 %;;;;unwichtig;;x
2;CAP/DUNGEON;0.05 %;;;;ersetzt;;x
2;2200/2400/HERO/BONUS;0.05 %;;;;ersetzt;;x
2;WANNA;0.05 %;;;;unwichtig;;x
2;UNHOLYDK;0.05 %;mischkurzwort;todesritter-unheilig;todesritter mit unheiligfertigkeitsbaum;klasse;e;x
2;CHALLENGES;0.05 %;;;;unwichtig;;x
2;GOLD/ANY;0.05 %;;;;unwichtig;;x
2;RANGEDD;0.05 %;initialkurzwort;distanzkämpfer;ranged damagedealer;filter1;e;x
2;1850LR;0.05 %;;;;ersetzt;;x
2;PLAYER;0.05 %;;;;unwichtig;;x
2;ACHIVEMETS;0.05 %;;;;ersetzt;;x
2;SCHREIB;0.05 %;;;;unwichtig;;x
2;KANNST;0.05 %;;;;unwichtig;;x
2;1,8LR;0.05 %;;;;ersetzt;;x
2;NETTEN;0.05 %;;;;unwichtig;;x
2;VOLLE;0.05 %;;;;unwichtig;;x
2;LUSTIGE;0.05 %;;;;unwichtig;;x
2;LR1600;0.05 %;;;;ersetzt;;x
2;TODAY;0.05 %;;;;unwichtig;;x
2;T1/W;0.05 %;;;;ersetzt;;x
2;2200/2400/HERO;0.05 %;;;;ersetzt;;x
2;EBENSO;0.05 %;;;;unwichtig;;x
2;JEDES;0.05 %;;;;unwichtig;;x
2;ARENAJUNKIES,BGS;0.05 %;;;;ersetzt;;x
2;U.S.W;0.05 %;;;;unwichtig;;x
2;PVP/TS3;0.05 %;;;;ersetzt;;x
2;GILDENREPARATUR/KEINE;0.05 %;;;;unwichtig;;x
2;DRAGON=LF;0.05 %;;;;unwichtig;;x
2;#NAME?;0.05 %;;;;unwichtig;;x
2;ABOUT;0.05 %;;;;unwichtig;;x
2;CONQUEST;0.05 %;;;;unwichtig;;x
2;HAVE;0.05 %;;;;unwichtig;;x
2;RARE;0.05 %;entlehnung;;selten;;e;x
2;MASSENGILDE];0.05 %;;;;unwichtig;;x
2;GLOCKENTURM;0.05 %;;;;unwichtig;;x
2;THINK;0.05 %;;;;unwichtig;;x
2;12/16HC;0.05 %;;;;ersetzt;;x
2;PROGRESSEN;0.05 %;entlehnung;;fortschreiten;;e;x
2;BESONDERS;0.05 %;;;;unwichtig;;x
